tipo_jornada;formacion;periodo;total
Jornada a tiempo completo;B Educación primaria;2017;1679,22
Jornada a tiempo completo;B Educación primaria;2016;1696,56
Jornada a tiempo completo;B Educación primaria;2015;1691,42
Jornada a tiempo completo;B Educación primaria;2014;1710,31
Jornada a tiempo completo;B Educación primaria;2022;2200,41
Jornada a tiempo completo;B Educación primaria;2021;2163,68
Jornada a tiempo completo;B Educación primaria;2020;2105,21
Jornada a tiempo completo;B Educación primaria;2019;2047,69
Jornada a tiempo completo;B Educación primaria;2018;2017,72
Jornada a tiempo completo;B Educación primaria;2017;1941,53
Jornada a tiempo completo;B Educación primaria;2016;1962,31
Jornada a tiempo completo;B Educación primaria;2015;1964,27
Jornada a tiempo completo;B Educación primaria;2014;2004,88
Jornada a tiempo completo;B Educación primaria;2022;2553,98
Jornada a tiempo completo;B Educación primaria;2021;2496,28
Jornada a tiempo completo;B Educación primaria;2020;2488,22
Jornada a tiempo completo;B Educación primaria;2019;2429,84
Jornada a tiempo completo;B Educación primaria;2018;2425,32
Jornada a tiempo completo;B Educación primaria;2017;2312,95
Jornada a tiempo completo;B Educación primaria;2016;2298,94
Jornada a tiempo completo;B Educación primaria;2015;2375,07
Jornada a tiempo completo;B Educación primaria;2014;2344,52
Jornada a tiempo completo;B Educación primaria;2022;3020,19
Jornada a tiempo completo;B Educación primaria;2021;3341,22
Jornada a tiempo completo;B Educación primaria;2020;3169,79
Jornada a tiempo completo;B Educación primaria;2019;2984,91
Jornada a tiempo completo;B Educación primaria;2018;2927,22
Jornada a tiempo completo;B Educación primaria;2017;2875,69
Jornada a tiempo completo;B Educación primaria;2016;2853,72
Jornada a tiempo completo;B Educación primaria;2015;2917,87
Jornada a tiempo completo;B Educación primaria;2014;2944,15
Jornada a tiempo completo;B Educación primaria;2022;6844
Jornada a tiempo completo;B Educación primaria;2021;4568,33
Jornada a tiempo completo;B Educación primaria;2020;3766,15
Jornada a tiempo completo;B Educación primaria;2019;9725,73
Jornada a tiempo completo;B Educación primaria;2018;4446,7
Jornada a tiempo completo;B Educación primaria;2017;4063
Jornada a tiempo completo;B Educación primaria;2016;4096,35
Jornada a tiempo completo;B Educación primaria;2015;4120
Jornada a tiempo completo;B Educación primaria;2014;3888,92
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;1780,32
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;1723,14
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;1652,54
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;1679,66
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;1650,86
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;1592,44
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;1601,15
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;1594,59
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;1608,19
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;863,59
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;788,4
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;737,55
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;752,68
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;662,24
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;641,65
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;635,42
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;603,83
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;565,74
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;1157,67
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;1062,59
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;1028,93
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;1019,63
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;924,93
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;885,46
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;878,14
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;849,48
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;850,48
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;1342,19
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;1266,76
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;1235,62
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;1222,01
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;1156,46
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;1122,64
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;1125,11
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;1105,15
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;1104,53
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;1529,69
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;1462,44
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;1421,32
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;1414,77
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;1361,73
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;1323,52
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;1324,12
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;1314,73
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;1315,48
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;1716,15
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;1656,51
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;1603,04
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;1597,42
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;1545,96
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;1497,89
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;1495,91
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;1495,62
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;1502,54
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;1921,26
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;1865,87
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;1810,73
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;1791,21
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;1748,56
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;1696,14
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;1699,52
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;1702,1
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;1710,85
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;2198,38
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;2147,56
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;2095,13
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;2054,85
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;2009,7
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;1965,37
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;1965,45
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;1951,22
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;1980,1
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;2573,61
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;2559,58
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;2502,56
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;2425,09
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;2408
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;2341,66
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;2334,46
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;2336,73
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;2356,19
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;3160,47
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;3179,61
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;3103,27
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;3025,69
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;2988,58
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;2912,92
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;2875,48
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;2916,79
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;2912,85
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2022;4267,32
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2021;4468,08
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2020;4494,29
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2019;4048,24
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2018;4203,69
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2017;4081,84
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2016;3964,09
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2015;4088,65
Jornada a tiempo completo;Primera etapa de educación secundaria y similar;2014;4003,76
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;2049,09
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;2016,46
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;2007,24
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;1986,53
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;1966,77
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;1906,1
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;1901,81
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;2007,86
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;1926,68
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;899,26
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;782,83
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;748,59
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;746,66
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;659,97
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;644,5
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;631,98
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;626,34
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;598,82
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;1157,52
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;1063,13
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;1015,82
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;1016,77
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;931,01
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;887,26
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;887,78
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;853,97
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;846,17
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;1348,58
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;1267,79
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;1237,1
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;1229,39
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;1165,7
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;1127,18
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;1110,26
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;1108,83
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;1108,42
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;1529,74
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;1462,24
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;1431,83
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;1417,57
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;1356,79
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;1326,45
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;1327,88
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;1316,43
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;1317,29
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;1713,96
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;1657,09
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;1606,32
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;1599,14
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;1542,96
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;1497,85
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;1496,72
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;1498,52
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;1503,32
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;1922,49
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;1872,67
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;1819,11
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;1786,72
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;1755,93
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;1695,96
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;1702,59
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;1698,25
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;1706,54
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;2183,66
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;2162,88
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;2099,15
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;2050,21
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;2017,42
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;1969,39
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;1969,63
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;1963,43
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;2005,23
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;2575,6
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;2537,49
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;2535,02
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;2431,63
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;2419,4
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;2362,28
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;2357,95
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;2360,97
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;2374,2
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;3187,3
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;3159,38
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;3161,74
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;3024,14
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;3005,95
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;2938,31
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;2918,65
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;2964,43
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;2927,62
Jornada a tiempo completo;Segunda etapa de educación secundaria;2022;4638,11
Jornada a tiempo completo;Segunda etapa de educación secundaria;2021;4620,65
Jornada a tiempo completo;Segunda etapa de educación secundaria;2020;4681,39
Jornada a tiempo completo;Segunda etapa de educación secundaria;2019;4437,01
Jornada a tiempo completo;Segunda etapa de educación secundaria;2018;4487,82
Jornada a tiempo completo;Segunda etapa de educación secundaria;2017;4431,15
Jornada a tiempo completo;Segunda etapa de educación secundaria;2016;4362,26
Jornada a tiempo completo;Segunda etapa de educación secundaria;2015;4495,46
Jornada a tiempo completo;Segunda etapa de educación secundaria;2014;4398,6
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1894,73
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1851,08
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1786,51
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1791,11
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1755,2
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1713,78
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1695,7
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1679,32
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1713,26
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;886,11
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;767,24
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;746,92
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;728,97
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;681,64
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;650,29
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;628,22
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;624,5
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;590,89
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1170,67
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1086,72
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1026,34
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1020,55
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;937,31
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;872,49
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;872,56
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;859,62
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;843,39
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1351,12
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1266,13
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1243,84
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1225,5
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1160,02
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1127,1
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1121,72
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1106,59
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1113
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1531,27
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1463,28
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1423,72
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1421,8
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1358,88
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1318,93
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1328,39
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1308,42
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1314,9
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1715,46
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1653,53
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1607,43
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1592,85
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1548,93
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1498,9
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1498,53
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1496,63
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1504,11
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1923,08
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1879,88
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1813,85
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1796,32
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1749,58
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1697,26
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1701,26
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1705,98
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1712,59
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;2179,04
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;2153,26
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;2103,48
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;2057,93
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;2016,58
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1962,62
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1960,21
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1950,94
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1989
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;2576,47
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;2542,17
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;2500,76
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;2417,85
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;2409,65
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;2331,09
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;2348,78
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;2342,98
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;2377,49
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;3163,1
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;3174,92
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;3159,23
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;3048,25
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;2972,66
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;2939,53
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;2882,4
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;2905,34
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;2893,22
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;4487,16
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;4484,76
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;4375,91
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;4207,99
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;4238,73
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;4212,41
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;4159,87
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;4202,36
Jornada a tiempo completo;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;3997,6
Jornada a tiempo completo;Educación superior;2022;2845,24
Jornada a tiempo completo;Educación superior;2021;2823,43
Jornada a tiempo completo;Educación superior;2020;2774,21
Jornada a tiempo completo;Educación superior;2019;2726,99
Jornada a tiempo completo;Educación superior;2018;2682,57
